# time x y cluster_labels
315476130.0000000 493857.0883492 4602447.2552425 -1.0000000
315476190.0000000 459116.7480384 4627541.7784720 0.0000000
315476220.0000000 459096.6829396 4624035.7220925 0.0000000
315476250.0000000 479116.0179683 4625702.2521753 0.0000000
315476280.0000000 450669.1868712 4638990.5173636 0.0000000
315476310.0000000 529752.1819190 4430736.2454068 -1.0000000
315476340.0000000 466626.6813119 4620490.4995146 0.0000000
315476490.0000000 495172.2537968 4600693.2983351 -1.0000000
315476520.0000000 487641.5287906 4623929.3962692 0.0000000
315476610.0000000 547499.1429114 4447476.0385564 1.0000000
315476640.0000000 475362.7814983 4678161.6158570 -1.0000000
315476640.0000000 544820.8873746 4445707.0861189 1.0000000
315476670.0000000 546154.8268178 4447467.7130599 1.0000000
315476790.0000000 501414.3708847 4661025.4422574 0.0000000
315476820.0000000 462918.4202173 4664628.9514398 0.0000000
315476910.0000000 549895.0142185 4440919.1681533 1.0000000
315477000.0000000 473095.3163185 4681238.0270148 -1.0000000
315477000.0000000 479208.4982172 4657257.4401265 0.0000000
315477030.0000000 496498.7517638 4620851.8011358 0.0000000
315477060.0000000 470266.7506923 4627486.6520682 0.0000000
315477120.0000000 484051.0227980 4632263.4308512 0.0000000
315477120.0000000 556162.2333956 4457613.2237457 -1.0000000
315477150.0000000 556484.7295547 4459368.3132197 -1.0000000
315477210.0000000 465362.5208747 4630576.6378804 0.0000000
315477240.0000000 460491.7182242 4638929.2014511 0.0000000
315477270.0000000 464042.4948636 4628830.0872284 0.0000000
315477450.0000000 493903.1842175 4656206.8703414 0.0000000
315477450.0000000 490332.2458735 4672135.1165967 0.0000000
315477450.0000000 537202.8459285 4422444.5671667 -1.0000000
315477480.0000000 451713.0320156 4648041.3521645 0.0000000
315477480.0000000 541230.1159482 4425970.3484976 -1.0000000
315477510.0000000 553931.4902862 4440946.8239895 1.0000000
315477540.0000000 445252.7236232 4615801.0094168 0.0000000
315477570.0000000 454346.9061013 4650799.7644990 0.0000000
315477660.0000000 456850.1512347 4685848.3062237 -1.0000000
315477690.0000000 453087.8303054 4658112.9241965 0.0000000
315477690.0000000 465411.5012503 4640656.6923582 0.0000000
315477750.0000000 457991.9477477 4659104.7861151 0.0000000
315477810.0000000 465723.7326375 4704500.7368666 -1.0000000
315477900.0000000 486657.2258572 4623931.1654561 0.0000000
315477930.0000000 487627.1459819 4615602.6223604 0.0000000
315477960.0000000 491600.4560348 4642330.6113413 0.0000000
315477990.0000000 485372.7010347 4637519.7601900 0.0000000
315478020.0000000 453415.7864028 4707348.2316498 -1.0000000
315478050.0000000 482822.7903132 4666305.5894622 0.0000000
315478050.0000000 453071.3612027 4655629.3443132 0.0000000
315478080.0000000 500109.2403999 4632245.5956487 0.0000000
315478140.0000000 435378.9136665 4649924.5607776 0.0000000
315478170.0000000 438051.8062891 4656475.3791482 0.0000000
315478200.0000000 414413.5767295 4646639.8720056 -1.0000000
315478200.0000000 455885.4340040 4687607.5749340 -1.0000000
315478230.0000000 459436.1050333 4683056.8932812 -1.0000000
315478230.0000000 454402.9014404 4709533.3635289 -1.0000000
315478260.0000000 485407.5725215 4654466.1769600 0.0000000
315478290.0000000 457903.5315909 4644203.4415252 0.0000000
315478320.0000000 459202.1638966 4642442.7314666 0.0000000
315478350.0000000 477867.5765836 4646158.4682273 0.0000000
315478380.0000000 457872.3813004 4638944.2265103 0.0000000
315478410.0000000 444003.9512091 4624138.0026601 -1.0000000
315478440.0000000 481398.4916113 4620436.8655448 0.0000000
315478470.0000000 482732.7301418 4629198.6704065 0.0000000
315478500.0000000 466729.0539418 4642403.5145521 0.0000000
315478530.0000000 452984.2916861 4642481.1401407 0.0000000
315478560.0000000 469048.5149842 4648967.2092511 0.0000000
315478620.0000000 453041.3478229 4651100.4883082 0.0000000
315478650.0000000 476519.2691625 4634037.3176924 0.0000000
315478680.0000000 474243.2402604 4638866.1388852 0.0000000
315478710.0000000 468023.6313381 4639183.5524062 0.0000000
315478710.0000000 472870.3180360 4622217.1468051 0.0000000
315478860.0000000 449337.6845105 4635931.8557734 0.0000000
315478890.0000000 484073.5882163 4642343.4908524 0.0000000
315478920.0000000 484088.3264516 4648917.5279423 0.0000000
315478950.0000000 455747.7340629 4665692.9685025 0.0000000
315478980.0000000 464163.4298963 4652788.6780635 0.0000000
315478980.0000000 470294.1362788 4634060.5465346 0.0000000
315479040.0000000 454282.0490860 4640719.5282920 0.0000000
315479130.0000000 475254.5024694 4647189.7386564 0.0000000
315479160.0000000 441942.4773080 4652935.9266683 0.0000000
315479160.0000000 461801.3903329 4638922.0504838 0.0000000
315479280.0000000 468947.3659160 4625739.2070344 0.0000000
315479310.0000000 446857.3203152 4654650.5623852 0.0000000
315479310.0000000 454121.8141550 4615738.7579460 0.0000000
315479370.0000000 464035.8730062 4627515.3119635 0.0000000
315479400.0000000 466596.0470856 4613916.7411499 0.0000000
315479430.0000000 465249.9860682 4607349.2902877 0.0000000
315479460.0000000 454046.1614507 4603906.1017183 0.0000000
315479520.0000000 471637.8866414 4642382.2325747 0.0000000
315479550.0000000 466712.6476198 4638897.3813019 0.0000000
315479580.0000000 464060.1606864 4632336.1656030 0.0000000
315479610.0000000 461775.5222031 4634101.1452472 0.0000000
315479670.0000000 493894.5078006 4646126.5954788 0.0000000
315479700.0000000 462730.9696413 4628836.8139641 0.0000000
315479730.0000000 487702.3211931 4658990.6937774 0.0000000
315479760.0000000 500109.1127412 4640572.5844974 0.0000000
315479790.0000000 507653.8157201 4625675.8331052 -1.0000000
315479820.0000000 476601.7558181 4659018.7134254 0.0000000
315479850.0000000 493923.2362535 4679435.9367466 0.0000000
315479850.0000000 458892.6681937 4645512.5038883 0.0000000
